Date,alabama,alaska,arizona,arkansas,california,colorado,connecticut,delaware,district-of-columbia,florida,georgia,guam,nebraska,nevada,new-hampshire,new-jersey,new-mexico,new-york,north-carolina,north-dakota,ohio,oklahoma,oregon,washington
2020-03-07,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,,,,,,,,,,,,,,,,,,-0.9145100278350592,,,,,,
2020-03-18,,,,,,,,,,,,,,,,,,-0.8947397673331533,,,,,,
2020-03-19,,,,,,,,,,,,,,,,,,-0.8510713897410315,,,,,,
2020-03-20,,,,,,,,,,,,,,,,,,-0.7587377555288335,,,,,,
2020-03-21,,,,,,-1.3233866491873545,,,,,,,,,,,,-0.6731390452238782,,,,,,
2020-03-22,,,,-1.415340878602334,,-1.2837383646398186,-1.0505763490272197,,,,,,,,,,,-0.5412648900078685,,,,,,
2020-03-23,,,,-1.415340878602334,,-1.1912257006955682,-1.030211169897129,,,,,,,,,,,-0.4139531025999909,,,,,,
2020-03-24,-1.4911319309653974,,,-1.3909728958929266,,-1.1119291316004964,-0.9987377112415341,,,,,-0.7809562149977948,,,,,,-0.2588325971234984,,,,,,
2020-03-25,-1.467796920753943,,,-1.3909728958929266,,-0.9401198985611743,-0.9209797545630056,-1.274243733599353,,,,-0.5865889083049419,,,,,,-0.09893246822896265,-1.4132675548381135,,,,,
2020-03-26,-1.447207205861483,,,-1.3395293768397334,,-0.8343911397677453,-0.8987631955119975,-1.2588040017251665,,,,-0.5477154469663713,,,,-0.6725979405106625,,0.17220253294003268,-1.4132675548381135,,,,,
2020-03-27,-1.4389713199044991,,,-1.3205765013990831,-1.2356661885309488,-0.7705133479967152,-0.8098969593079648,-1.24336426985098,,,,-0.4699685242892302,,,,-0.181175474683576,-1.0639147275982648,0.422915506777389,-1.3636673421350651,,,,,
